Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000100131.1,349,391,405,641,407,436,468,374
ENSMUSG00000067736.2,121,124,129,213,133,152,146,97
ENSMUSG00000101939.1,1013,960,1159,832,1002,1167,1073,976
ENSMUSG00000101111.1,750,918,1251,804,725,875,1019,711
ENSMUSG00000100862.1,715,774,907,889,853,818,1030,814
ENSMUSG00000102070.1,485,592,649,632,581,583,665,555
ENSMUSG00000101249.1,750,784,810,971,696,820,919,854
ENSMUSG00000073725.8,18040,13625,19553,16163,16126,22338,22518,21738
ENSMUSG00000100808.1,1,2,0,0,0,1,5,0
ENSMUSG00000100483.1,1,0,2,0,1,0,1,0
ENSMUSG00000100450.1,0,2,5,0,3,0,3,4
ENSMUSG00000099392.1,0,1,0,0,1,0,0,0
ENSMUSG00000033569.17,11624,10407,14880,12279,11965,16681,16721,16311
ENSMUSG00000080849.1,0,0,0,2,0,1,0,2
ENSMUSG00000104257.1,1,11,8,2,1,15,0,5
ENSMUSG00000096866.1,0,0,0,0,0,0,1,1
ENSMUSG00000102296.1,0,3,1,9,1,3,5,1
ENSMUSG00000103209.1,2,4,1,2,2,7,8,2
ENSMUSG00000104027.1,5,8,9,3,6,6,6,4
ENSMUSG00000102407.1,1,2,0,3,4,1,3,3
ENSMUSG00000103214.1,7,6,4,2,7,2,3,0
ENSMUSG00000104100.1,2,6,5,4,3,7,4,4
ENSMUSG00000084740.1,3,0,0,0,0,0,0,0
ENSMUSG00000103889.1,10,6,3,1,8,5,7,1
ENSMUSG00000101301.1,3,0,1,0,0,0,0,0
ENSMUSG00000104221.1,4,8,0,0,0,0,0,1
ENSMUSG00000102250.1,0,5,5,1,0,3,1,3
ENSMUSG00000102317.1,0,0,0,1,0,1,2,2
ENSMUSG00000103563.1,0,2,2,1,0,0,0,0
ENSMUSG00000102465.1,0,15,6,2,4,2,2,0
ENSMUSG00000102659.1,0,2,2,0,0,0,0,0
ENSMUSG00000103924.1,0,1,2,0,2,0,0,1
ENSMUSG00000104132.1,0,6,0,0,2,2,0,0
ENSMUSG00000102747.1,2,1,0,0,0,1,2,0
ENSMUSG00000102386.1,6,18,7,1,2,14,9,6
ENSMUSG00000103004.1,0,0,0,0,0,1,4,0
ENSMUSG00000104516.1,31,33,42,32,27,54,50,34
ENSMUSG00000101618.1,0,0,0,0,0,0,0,0
ENSMUSG00000099458.1,0,0,0,0,0,0,0,0
ENSMUSG00000088111.1,0,0,0,0,0,0,0,0
ENSMUSG00000073722.3,0,2,0,0,0,0,2,5
ENSMUSG00000095256.1,0,0,0,0,0,0,0,0
ENSMUSG00000100310.1,0,0,0,0,0,0,0,0
ENSMUSG00000101514.1,2,0,1,0,0,0,0,6
ENSMUSG00000101033.1,0,0,0,0,0,0,0,0
ENSMUSG00000101372.1,4,2,5,2,2,0,2,10
ENSMUSG00000103241.1,0,0,0,0,0,0,0,0
ENSMUSG00000086240.4,24,0,4,17,5,5,2,9
ENSMUSG00000048411.4,0,0,0,0,0,0,0,0
ENSMUSG00000081557.2,2,2,0,2,0,2,0,0
ENSMUSG00000058590.2,0,0,0,0,0,0,0,0
